timestamp_sec,point_index,x,y,z,intensity,velocity
1744011699,0,0.92150193,0.118534535,-0.32596996,12.9,0.604349
1744011699,1,0.92720205,0.14816816,-0.29633632,13.4,-0.604349
1744011699,0,0.7528432,-0.15557657,-0.38894144,12.1,0.604349
1744011699,1,0.7774469,-0.15557657,-0.33708256,11.9,-0.604349
1744011699,0,0.3365243,0.39758456,-0.24200802,13.3,0.604349
1744011699,1,0.7599541,-0.18150601,-0.36301202,11.5,0.604349
1744011699,2,0.8439041,-0.059267268,-0.5037718,11.7,0.604349
1744011699,3,0.33873692,0.41487086,-0.20743543,11.6,-0.604349
1744011699,4,0.78818274,-0.15557657,-0.31115314,11.5,-0.604349
1744011699,5,0.8780719,-0.029633634,-0.4445045,11.5,-0.604349
1744011699,0,0.8609025,-0.059267268,-0.47413814,12.0,0.604349
1744011699,1,0.8909782,-0.059267268,-0.41487086,11.7,-0.604349
1744011699,0,0.8412985,-0.0889009,-0.5037718,11.6,0.604349
1744011699,0,0.7840275,-0.059267268,-0.59267265,13.5,0.604349
1744011699,1,0.82708716,-0.029633634,-0.5334054,13.9,-0.604349
1744011699,0,2.1733932,0.27658057,0.69145143,11.4,0.604349
1744011699,1,3.7438767,0.45932135,0.5741517,11.3,0.604349
1744011699,2,1.1130303,-0.2667027,-0.9334595,11.4,-0.604349
1744011699,0,0.5875011,-0.07408408,-0.56797796,12.3,-0.604349
1744011699,1,0.6783394,-0.059267268,-0.7112072,12.7,-0.604349
1744011699,2,1.427422,-0.12964715,0.086431436,12.5,-0.604349
1744011699,3,1.1708122,-0.12964715,-0.8210986,12.5,-0.604349
1744011699,0,0.4651142,0.37782884,0.35683835,15.2,0.604349
1744011699,1,0.7082616,0.31238788,0.5395791,13.4,0.604349
1744011699,2,3.7561834,-0.5741517,0.34449098,11.5,0.604349
1744011699,0,0.4944994,0.3148574,0.37782884,15.1,0.604349
1744011699,1,0.6552204,-0.0,-0.49389392,13.6,-0.604349
1744011699,0,0.5370929,0.31115317,0.40005407,15.6,0.604349
1744011699,0,0.54262614,0.3049795,0.4691992,18.0,0.604349
1744011699,1,0.70108217,0.07408408,-0.41980982,12.9,-0.604349
1744011699,0,0.7278737,0.13582082,0.5161191,16.5,0.604349
1744011699,1,0.5813109,0.16421972,-0.49265915,15.8,-0.604349
1744011699,0,0.3581754,0.38894144,0.31485736,12.7,0.604349
1744011699,1,0.69408864,0.12347348,0.41980982,11.8,0.604349
1744011699,2,0.40495768,0.31115317,-0.5334054,11.8,-0.604349
1744011699,0,0.73214316,-0.0,0.37042046,18.7,0.604349
1744011699,1,3.443636,-0.9087648,-1.2495515,13.8,-0.604349
1744011699,2,5.247379,-1.1668245,-1.3335136,18.0,-0.604349
1744011699,0,0.83283377,-0.21731332,0.27164164,15.2,0.604349
1744011699,1,0.3070582,0.39881936,-0.48278132,11.7,-0.604349
1744011699,2,1.9446776,-0.8297417,-0.89888686,11.6,-0.604349
1744011699,3,3.2429333,-0.9087648,-1.703934,15.1,-0.604349
1744011699,4,3.5955229,-1.4668648,-2.1336217,13.1,-0.604349
1744011699,5,4.688062,-2.0002704,-2.1669595,18.4,-0.604349
1744011699,0,0.4218636,0.3556036,0.3556036,16.3,0.604349
1744011699,1,0.8706898,-0.2271912,0.28398898,15.0,0.604349
1744011699,2,0.860909,-0.2271912,0.31238788,12.7,-0.604349
1744011699,3,1.9080497,-0.8445586,-1.0556983,14.8,-0.604349
1744011699,4,3.158103,-0.56180435,-1.9101348,15.2,-0.604349
1744011699,5,3.57934,-1.1890496,-2.2459824,13.6,-0.604349
1744011699,6,4.842576,-1.3335136,-2.333649,20.0,-0.604349
1744011699,7,5.065394,-1.852102,-2.9633634,11.7,-0.604349
1744011699,8,5.4173164,-2.3114235,-2.5040421,15.0,-0.604349
1744011699,0,0.37431374,0.25682482,0.47413814,11.6,0.604349
1744011699,1,1.9067513,-0.633419,-1.196458,13.4,-0.604349
1744011699,2,3.1299944,-0.22472173,-2.0224955,14.6,-0.604349
1744011699,3,3.6373188,-0.80010813,-2.4003243,15.4,-0.604349
1744011699,4,4.652365,-1.0001352,-2.8337164,15.1,-0.604349
1744011699,5,5.2352324,-1.2964715,-2.9633634,13.9,-0.604349
